Date,Transaction Description,Debit,Credit,Balance
25/09/23,SERVICE CHARGE,2,.00,6950.90
26/09/23,RIB/MB TRF FROM CA/SA,.0,401.00,7351.90
26/09/23,RIB/NB TRF FROM CA/SA,.0,31.00,7382.90
26/00/23,RIB/NB TRF FROM CA/SA,.0,10.00,7392.90
26/09/23,RIB/MB TRF FROM CA/SA,.00,31,00.90
26/09/23,RIB/MB TRF FROM CA/SA,.0,30.00,7453.90
26/09/23,RIB/MB TRF FROM CA/SA,.0,31.00,7484.50
26/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,7584.90
26/09/23,RIB/MB TRF FROM CA/SA,.0,500.00,8084.90
26/09/23,RIB/MB TRF FROM CA/SA,.0,10.00,8094.90
26/09/23,RIB/MB TRE FROM CA/SA,.0,50.00,8144.90
26/09/23,RIB/NB TRF FROM CA/SA   g,.0,81.00,8175.50
26/09/23,RIB/NB  TRF FROM GA/SA,.0,2000.00,10176.90
28/09/23,RIB/MB TRF TO CA/SA .26/09/23 RIB/MB TRF FROM TA/SA . . . .00 100.00 10225.90,50.00,.0,10125.00
26/09/23,RIB/NB TRF FROM CA/SA,.0,5000.00,15225.90
26/09/23,DEBIT ADVICE N,6364.00,.00,8861.90
26/09/23,SERVICE CHARGE,2.00,.00,8859.90
26/09/23,RIB/MB TRF FROM CA/SA,.0,300.00,9159.90
26/09/23,RIB/MB TRF FROM CA/SA,.0,200.00,9359.90
28/09/23,RIB/MB TRF FROM CA/SA,.0,100.00,9459.90
27/09/23,RIB/NB TRF FROM CA/SA,.0,100.00,9559.90
27/09/23,RIB/NB TRF FROM CA/SA,.0,500.00,10059.90
27/09/23,RIB/MB TRF FROM CA/SA,.0,2000.00,12059.90
27/09/23,DEBIT ADVICE,8925.00,.00,3134.90
27/09/23,SERVICE CHARGE,2,0,07,00,3132,90
27/09/23,RIB/MB TRF FROM CA/SA,.0,50.00,3182.90
27/09/23,RIB/VMB TRF FROM CA/SA,.0,50.00,3232.90
